SHBLON,SHBLAT,EHBLON,EHBLAT,count
121.5842587219874,31.09717167036719,121.57376694237159,31.12415130160573,11
121.62622584045064,31.16012414325711,121.55278338313997,31.151130932844264,11
121.52130804429254,31.03421919747727,121.53179982390834,31.025225987064424,11
121.60524228121902,31.196096984908493,121.56327516275577,31.196096984908493,11
121.384914909287,31.259049457798415,121.34294779082376,31.232069826559876,11
121.43737380736606,31.079185249541496,121.39540668890281,31.061198828715806,11
121.46884914621349,31.322001930688334,121.51081626467672,31.277035878624105,11
121.61573406083482,31.28602908903695,121.60524228121902,31.214083405734186,11
121.32196423159213,31.13314451201857,121.2904888927447,31.12415130160573,11
121.43737380736606,31.313008720275487,121.41639024813443,31.277035878624105,11
121.66819295891389,31.259049457798415,121.61573406083482,31.277035878624105,11
121.1960628762024,31.05220561830296,121.1960628762024,31.09717167036719,11
121.22753821504983,31.025225987064424,121.22753821504983,30.998246355825884,11
121.46884914621349,30.917307462110273,121.46884914621349,30.890327830871737,11
121.2904888927447,31.070192039128653,121.25901355389728,31.070192039128653,11
121.37442312967119,31.106164880780035,121.32196423159213,31.13314451201857,11
121.41639024813443,31.37596119316541,121.40589846851861,31.357974772339716,11
121.22753821504983,31.232069826559876,121.22753821504983,31.25005624738557,11
121.45835736659767,31.295022299449798,121.51081626467672,31.277035878624105,11
121.34294779082376,30.845361778807508,121.33245601120795,30.85435498922035,11
121.39540668890281,31.339988351514027,121.42688202775024,31.304015509862644,11
121.60524228121902,31.268042668211258,121.64720939968227,31.295022299449798,11
121.37442312967119,31.115158091192882,121.36393135005538,31.169117353669957,11
121.47934092582929,31.214083405734186,121.50032448506091,31.1781105640828,11
121.24852177428146,31.313008720275487,121.24852177428146,31.33099514110118,11
121.43737380736606,31.25005624738557,121.42688202775024,31.28602908903695,11
121.27999711312889,31.142137722431418,121.25901355389728,31.106164880780035,11
121.384914909287,31.169117353669957,121.40589846851861,31.20509019532134,11
121.60524228121902,31.28602908903695,121.65770117929807,31.277035878624105,11
121.44786558698186,31.187103774495647,121.35343957043956,31.241063036972722,11
121.42688202775024,31.088178459954342,121.43737380736606,31.070192039128653,11
121.42688202775024,31.13314451201857,121.384914909287,31.106164880780035,11
121.55278338313997,31.16012414325711,121.62622584045064,31.20509019532134,11
121.44786558698186,31.25005624738557,121.384914909287,31.25005624738557,11
121.61573406083482,31.20509019532134,121.57376694237159,31.20509019532134,11
121.22753821504983,31.232069826559876,121.23802999466565,31.22307661614703,11
121.21704643543403,30.998246355825884,121.1855710965866,31.016232776651577,11
121.27999711312889,31.043212407890113,121.23802999466565,31.016232776651577,11
121.40589846851861,31.322001930688334,121.384914909287,31.304015509862644,11
121.34294779082376,30.764422885091893,121.37442312967119,30.737443253853357,11
121.22753821504983,31.106164880780035,121.26950533351308,31.12415130160573,11
121.65770117929807,31.28602908903695,121.61573406083482,31.259049457798415,11
121.36393135005538,31.196096984908493,121.36393135005538,31.232069826559876,11
121.24852177428146,31.115158091192882,121.25901355389728,31.088178459954342,11
