origin_port,grid_id,grid_center_lon,grid_center_lat,energy_type,emission_standard,type,trip_count,vehicle_count_x
外4,G5_2702_736,121.38485276665034,31.382313508724522,柴油,国四,集卡,11,9
外4,G5_2702_737,121.38485276665034,31.420650788451876,其他,未知,未知,11,10
外6,G5_2709_729,121.69926311609218,31.11351485908563,柴油,国六,普通货车,11,5
外6,G5_2701_733,121.33993700244436,31.267207791637656,柴油,国五,普通货车,11,3
外4,G5_2710_732,121.74417888029814,31.228807962750448,柴油,国六,集卡,11,11
外2,G5_2710_723,121.74417888029814,30.882508365567617,柴油,国五,集卡,11,9
外4,G5_2708_733,121.65434735188619,31.267207791637656,柴油,国五,集卡,11,9
外5,G5_2710_730,121.74417888029814,31.151961485527742,柴油,国五,集卡,11,1
外4,G5_2708_733,121.65434735188619,31.267207791637656,柴油,国四,集卡,11,6
外1,G5_2703_736,121.42976853085631,31.382313508724522,柴油,国六,集卡,11,9
外4,G5_2711_722,121.78909464450413,30.843952931191293,柴油,国五,集卡,11,11
外2,G5_2708_726,121.65434735188619,30.99808156047971,柴油,国五,集卡,11,9
外4,G5_2701_735,121.33993700244436,31.343960575473936,柴油,国五,集卡,11,10
外4,G5_2702_726,121.38485276665034,30.99808156047971,柴油,国六,集卡,11,11
外2,G5_2708_733,121.65434735188619,31.267207791637656,电动,新能源,未知,11,10
外1,G5_2710_731,121.74417888029814,31.190392523736996,柴油,国六,集卡,11,6
外5,G5_2700_735,121.2950212382384,31.343960575473936,柴油,国五,集卡,11,9
外6,G5_2709_736,121.69926311609218,31.382313508724522,柴油,国五,普通货车,11,9
外4,G5_2698_734,121.20518970982643,31.30559199950064,柴油,国五,集卡,11,9
外4,G5_2699_727,121.25010547403241,31.036574885517357,柴油,国四,集卡,11,11
外6,G5_2710_735,121.74417888029814,31.343960575473936,柴油,国六,集卡,10,5
外2,G5_2705_735,121.51960005926826,31.343960575473936,其他,未知,未知,10,5
外4,G5_2703_721,121.42976853085631,30.805381997457314,其他,未知,未知,10,6
外4,G5_2703_725,121.42976853085631,30.959572691386352,柴油,国五,集卡,10,10
外5,G5_2703_725,121.42976853085631,30.959572691386352,柴油,国六,集卡,10,6
